Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Status,Transaction,Type,Per_Sqft
1450.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,1.0,45000000,Ready_to_move,New_Property,Builder_Floor,16176.0
1350.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,1.0,21000000,Ready_to_move,Resale,Builder_Floor,15556.0
1700.0,3,3.0,Unfurnished,Lajpat Nagar 3,1.0,28000000,Ready_to_move,Resale,Builder_Floor,15556.0
1600.0,3,3.0,Unfurnished,Lajpat Nagar 3,2.0,29500000,Ready_to_move,Resale,Builder_Floor,15556.0
1500.0,1,,Unfurnished,Lajpat Nagar 2,,13500000,Ready_to_move,Resale,Apartment,
800.0,2,2.0,Unfurnished,Lajpat Nagar 2,1.0,14000000,Ready_to_move,New_Property,Builder_Floor,
1710.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,4.0,26000000,Ready_to_move,New_Property,Builder_Floor,
1350.0,2,2.0,Furnished,Lajpat Nagar 2,4.0,12500000,Ready_to_move,Resale,Builder_Floor,9259.0
1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,2.0,26000000,Ready_to_move,New_Property,Builder_Floor,9259.0
750.0,2,2.0,Semi-Furnished,"Vinoba Puri, Lajpat Nagar",2.0,11500000,Ready_to_move,New_Property,Builder_Floor,9259.0
850.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,2.0,14600000,Ready_to_move,Resale,Builder_Floor,9259.0
1575.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,1.0,25500000,Ready_to_move,New_Property,Builder_Floor,9259.0
1675.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,2.0,31000000,Ready_to_move,New_Property,Builder_Floor,18507.0
1350.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,2.0,22000000,Ready_to_move,Resale,Builder_Floor,18507.0
900.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,2.0,13400000,Ready_to_move,New_Property,Builder_Floor,18507.0
1800.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,2.0,35000000,Almost_ready,New_Property,Builder_Floor,18507.0
900.0,2,2.0,Furnished,Lajpat Nagar 2,2.0,11000000,Ready_to_move,Resale,Builder_Floor,18507.0
900.0,2,2.0,Unfurnished,"Vinoba Puri, Lajpat Nagar",2.0,6300000,Ready_to_move,Resale,Builder_Floor,7000.0
900.0,2,2.0,Furnished,Lajpat Nagar 2,2.0,12500000,Ready_to_move,Resale,Builder_Floor,7000.0
800.0,2,2.0,Unfurnished,Lajpat Nagar 2,1.0,14500000,Ready_to_move,New_Property,Builder_Floor,7000.0
1100.0,2,3.0,Semi-Furnished,Lajpat Nagar 2,1.0,22500000,Ready_to_move,New_Property,Builder_Floor,7000.0
810.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,1.0,15500000,Ready_to_move,New_Property,Builder_Floor,7000.0
1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,1.0,26000000,Ready_to_move,New_Property,Builder_Floor,7000.0
900.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,1.0,15800000,Ready_to_move,New_Property,Builder_Floor,7000.0
825.0,2,2.0,Unfurnished,Lajpat Nagar 2,1.0,15000000,Ready_to_move,New_Property,Builder_Floor,7000.0
900.0,2,2.0,Unfurnished,Lajpat Nagar 2,1.0,13000000,Ready_to_move,New_Property,Builder_Floor,7000.0
875.0,2,2.0,Unfurnished,Lajpat Nagar 2,1.0,15000000,Ready_to_move,New_Property,Builder_Floor,7000.0
1350.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,1.0,25000000,Ready_to_move,New_Property,Builder_Floor,7000.0
750.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,1.0,16500000,Ready_to_move,New_Property,Builder_Floor,7000.0
900.0,2,2.0,Unfurnished,Lajpat Nagar 2,1.0,10300000,Ready_to_move,New_Property,Builder_Floor,7000.0
1350.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,1.0,26000000,Ready_to_move,New_Property,Builder_Floor,7000.0
900.0,2,2.0,Unfurnished,Lajpat Nagar 2,1.0,11000000,Ready_to_move,Resale,Builder_Floor,7000.0
1800.0,3,3.0,Unfurnished,Lajpat Nagar 2,1.0,28500000,Ready_to_move,New_Property,Builder_Floor,7000.0
900.0,2,2.0,Unfurnished,Lajpat Nagar 2,1.0,11000000,Ready_to_move,Resale,Builder_Floor,7000.0
900.0,2,1.0,Furnished,Budh Vihar,1.0,11000000,Ready_to_move,Resale,Apartment,
810.0,3,2.0,Semi-Furnished,Budh Vihar,1.0,4500000,Ready_to_move,Resale,Builder_Floor,
450.0,2,1.0,Unfurnished,Budh Vihar ,1.0,3600000,Ready_to_move,Resale,Builder_Floor,72000.0
100.0,3,2.0,Furnished,Budh Vihar Phase 1,1.0,4300000,Ready_to_move,New_Property,Builder_Floor,43000.0
900.0,3,2.0,Semi-Furnished,Budh Vihar,1.0,4000000,Ready_to_move,Resale,Builder_Floor,4444.0
500.0,2,2.0,Semi-Furnished,Budh Vihar Phase 1,1.0,1650000,Ready_to_move,Resale,Apartment,3300.0
450.0,1,1.0,Furnished,Budh Vihar,1.0,2000000,Ready_to_move,Resale,Builder_Floor,4444.0
75.0,2,2.0,Semi-Furnished,Budh Vihar,1.0,3000000,Ready_to_move,Resale,Builder_Floor,40000.0
270.0,2,1.0,Semi-Furnished,Budh Vihar Phase 1,1.0,1400000,Ready_to_move,Resale,Apartment,5185.0
500.0,2,1.0,Semi-Furnished,Budh Vihar Phase 1,1.0,2000000,Ready_to_move,Resale,Builder_Floor,4000.0
444.0,2,2.0,Unfurnished,Budh Vihar Phase 1,1.0,2000000,Ready_to_move,Resale,Apartment,4000.0
400.0,1,1.0,Furnished,Budh Vihar,1.0,2000000,Ready_to_move,Resale,Builder_Floor,4000.0
729.0,3,4.0,Furnished,Budh Vihar,1.0,2600000,Ready_to_move,Resale,Builder_Floor,3567.0
4050.0,6,3.0,Furnished,Budh Vihar Phase 1,1.0,5100000,Ready_to_move,Resale,Builder_Floor,1259.0
2400.0,6,4.0,Furnished,Budh Vihar Phase 2,1.0,6000000,Ready_to_move,Resale,Builder_Floor,2500.0
450.0,2,2.0,Furnished,Budh Vihar,1.0,4000000,Ready_to_move,Resale,Builder_Floor,2500.0
405.0,2,3.0,Furnished,Budh Vihar Phase 2,1.0,6200000,Ready_to_move,Resale,Builder_Floor,2500.0
666.0,1,2.0,Furnished,Budh Vihar Phase 1,1.0,3500000,Ready_to_move,Resale,Builder_Floor,5255.0
1000.0,2,2.0,Semi-Furnished,"Saptrishi Apartment, Rohini Sector 23",1.0,7600000,Ready_to_move,Resale,Apartment,5255.0
1360.0,4,3.0,Semi-Furnished,Rohini Sector 24,1.0,13500000,Ready_to_move,New_Property,Builder_Floor,5255.0
1550.0,4,3.0,Semi-Furnished,Rohini Sector 24,1.0,12500000,Ready_to_move,New_Property,Builder_Floor,5255.0
850.0,3,2.0,Semi-Furnished,Rohini Sector 23,1.0,6500000,Ready_to_move,New_Property,Builder_Floor,5255.0
2170.0,4,4.0,Unfurnished,Rohini Sector 23,2.0,22000000,Ready_to_move,New_Property,Builder_Floor,5255.0
720.0,3,2.0,Semi-Furnished,Rohini Sector 23,1.0,6000000,Ready_to_move,New_Property,Builder_Floor,5255.0
850.0,3,2.0,Semi-Furnished,Rohini Sector 23,1.0,7300000,Ready_to_move,New_Property,Builder_Floor,5255.0
950.0,3,2.0,Semi-Furnished,Rohini Sector 23,1.0,7600000,Ready_to_move,New_Property,Builder_Floor,5255.0
2300.0,4,4.0,Semi-Furnished,Rohini Sector 23,1.0,20000000,Ready_to_move,New_Property,Builder_Floor,5255.0
1300.0,4,4.0,Semi-Furnished,Rohini Sector 22,1.0,15000000,Ready_to_move,New_Property,Builder_Floor,5255.0
1100.0,3,2.0,Semi-Furnished,Rohini Sector 20,1.0,6200000,Ready_to_move,New_Property,Builder_Floor,5255.0
1030.0,3,2.0,Furnished,Rohini Sector 20,1.0,6200000,Ready_to_move,New_Property,Builder_Floor,5255.0
350.0,1,1.0,Semi-Furnished,"Rohini ( 1 km from Shahbad Dairy, Rohini)",1.0,2300000,Ready_to_move,New_Property,Builder_Floor,
750.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,5000000,Ready_to_move,New_Property,Apartment,6667.0
720.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,4700000,Ready_to_move,New_Property,Apartment,6528.0
800.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,5500000,Ready_to_move,New_Property,Apartment,6875.0
350.0,1,1.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,2000000,Ready_to_move,New_Property,Apartment,5714.0
980.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,7300000,Ready_to_move,New_Property,Apartment,7449.0
1600.0,4,3.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,13000000,Ready_to_move,New_Property,Apartment,8125.0
1450.0,3,3.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,11500000,Ready_to_move,New_Property,Apartment,7931.0
445.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,2800000,Ready_to_move,New_Property,Apartment,7931.0
380.0,1,1.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,2200000,Ready_to_move,New_Property,Apartment,5789.0
680.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,4400000,Ready_to_move,New_Property,Apartment,6471.0
1600.0,3,3.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,13500000,Ready_to_move,New_Property,Apartment,8438.0
630.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,4100000,Ready_to_move,New_Property,Apartment,6508.0
1500.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,12000000,Ready_to_move,New_Property,Apartment,8000.0
550.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,3500000,Ready_to_move,New_Property,Apartment,6364.0
2500.0,4,3.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,15000000,Ready_to_move,New_Property,Apartment,6000.0
2800.0,5,4.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,17500000,Ready_to_move,New_Property,Apartment,6250.0
300.0,1,1.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,1900000,Ready_to_move,New_Property,Apartment,6333.0
800.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,5500000,Ready_to_move,New_Property,Apartment,6875.0
1295.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,10000000,Ready_to_move,New_Property,Apartment,6875.0
700.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,4700000,Ready_to_move,New_Property,Apartment,6714.0
350.0,1,1.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,2400000,Ready_to_move,New_Property,Builder_Floor,6714.0
450.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,3800000,Ready_to_move,New_Property,Builder_Floor,6714.0
2200.0,4,4.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,23000000,Ready_to_move,New_Property,Builder_Floor,6714.0
2300.0,4,4.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,24500000,Ready_to_move,New_Property,Builder_Floor,6714.0
1150.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,10000000,Ready_to_move,New_Property,Builder_Floor,6714.0
800.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,5500000,Ready_to_move,New_Property,Builder_Floor,6714.0
850.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,7000000,Ready_to_move,New_Property,Builder_Floor,6714.0
720.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,6500000,Ready_to_move,New_Property,Builder_Floor,6714.0
4688.0,5,4.0,Unfurnished,"The Leela Sky Villas, Patel Nagar",1.0,135000000,Almost_ready,New_Property,Apartment,28797.0
750.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,5000000,Ready_to_move,New_Property,Apartment,6667.0
3901.0,4,4.0,Unfurnished,"The Leela Sky Villas, Patel Nagar",1.0,93000000,Almost_ready,New_Property,Apartment,23840.0
950.0,3,2.0,Furnished,"Uttam Nagar Floors, Uttam Nagar",1.0,4370000,Ready_to_move,New_Property,Apartment,4600.0
1000.0,3,2.0,Unfurnished,"Virat Residency, Dwarka Mor",1.0,4620000,Ready_to_move,New_Property,Apartment,4620.0
